time,delta_freq,event,power,f0
0,-0.148314,0,330,50
0.3,-0.146652,0,330,50
0.6,-0.113437,0,330,50
0.9,-0.154529,0,330,50
1.2,-0.158895,0,330,50
1.5,-0.125011,0,330,50
1.8,-0.162613,0,330,50
2.1,-0.167824,0,330,50
2.4,-0.129925,0,330,50
2.7,-0.170771,0,330,50
3,-0.1727,0,330,50
3.3,-0.13934,0,330,50
3.6,-0.178342,0,330,50
3.9,-0.185847,0,330,50
4.2,-0.150633,0,330,50
4.5,-0.183955,0,330,50
4.8,-0.186219,0,330,50
5.1,-0.149478,0,330,50
5.4,-0.178704,0,330,50
5.7,-0.182936,0,330,50
6,-0.138299,0,330,50
6.3,-0.169922,0,330,50
6.6,-0.17152,0,330,50
6.9,-0.133542,0,330,50
7.2,-0.15624,0,330,50
7.5,-0.165889,0,330,50
7.8,-0.121446,0,330,50
8.1,-0.147273,0,330,50
8.4,-0.151172,0,330,50
8.7,-0.113267,0,330,50
9,-0.1381,0,330,50
9.3,-0.144541,0,330,50
9.6,-0.104464,0,330,50
9.9,-0.122017,0,330,50
10.2,-0.13118,0,330,50
10.5,-0.0931973,0,330,50
10.8,-0.116532,0,330,50
11.1,-0.126304,0,330,50
11.4,-0.0893453,0,330,50
11.7,-0.107282,0,330,50
12,-0.126852,0,330,50
12.3,-0.0946562,0,330,50
12.6,-0.115225,0,330,50
12.9,-0.133197,0,330,50
13.2,-0.100324,0,330,50
13.5,-0.115814,0,330,50
13.8,-0.133731,0,330,50
14.1,-0.10362,0,330,50
14.4,-0.118284,0,330,50
14.7,-0.13808,0,330,50
15,-0.108357,0,330,50
15.3,-0.118315,0,330,50
15.6,-0.141913,0,330,50
15.9,-0.110823,0,330,50
16.2,-0.125266,0,330,50
16.5,-0.150171,0,330,50
16.8,-0.121728,0,330,50
17.1,-0.135701,0,330,50
17.4,-0.161139,0,330,50
17.7,-0.133293,0,330,50
18,-0.142864,0,330,50
18.3,-0.172851,0,330,50
18.6,-0.144739,0,330,50
18.9,-0.15471,0,330,50
19.2,-0.178309,0,330,50
19.5,-0.151784,0,330,50
19.8,-0.158885,0,330,50
20.1,-0.185197,0,330,50
20.4,-0.158709,0,330,50
20.7,-0.162133,0,330,50
21,-0.189832,0,330,50
21.3,-0.166799,0,330,50
21.6,-0.16543,0,330,50
21.9,-0.197095,0,330,50
22.2,-0.164672,0,330,50
22.5,-0.157708,0,330,50
22.8,-0.187407,0,330,50
23.1,-0.155888,0,330,50
23.4,-0.14694,0,330,50
23.7,-0.174048,0,330,50
24,-0.146515,0,330,50
24.3,-0.130755,0,330,50
24.6,-0.171998,0,330,50
24.9,-0.140896,0,330,50
25.2,-0.126737,0,330,50
25.5,-0.168549,0,330,50
25.8,-0.138238,0,330,50
26.1,-0.119768,0,330,50
26.4,-0.163312,0,330,50
26.7,-0.137782,0,330,50
27,-0.114878,0,330,50
27.3,-0.161788,0,330,50
27.6,-0.136131,0,330,50
27.9,-0.11232,0,330,50
28.2,-0.156323,0,330,50
28.5,-0.137541,0,330,50
28.8,-0.108179,0,330,50
29.1,-0.156249,0,330,50
29.4,-0.136136,0,330,50
29.7,-0.102298,0,330,50
30,-0.156552,0,330,50
30.3,-0.13962,0,330,50
30.6,-0.110822,0,330,50
30.9,-0.163477,0,330,50
31.2,-0.148345,0,330,50
31.5,-0.119487,0,330,50
31.8,-0.172989,0,330,50
32.1,-0.161946,0,330,50
32.4,-0.125489,0,330,50
32.7,-0.178103,0,330,50
33,-0.169705,0,330,50
33.3,-0.132272,0,330,50
33.6,-0.186633,0,330,50
33.9,-0.179897,0,330,50
34.2,-0.14498,0,330,50
34.5,-0.194655,0,330,50
34.8,-0.191078,0,330,50
35.1,-0.156757,0,330,50
35.4,-0.203429,0,330,50
35.7,-0.202955,0,330,50
36,-0.165241,0,330,50
36.3,-0.212274,0,330,50
36.6,-0.208946,0,330,50
36.9,-0.174423,0,330,50
37.2,-0.215849,0,330,50
37.5,-0.219691,0,330,50
37.8,-0.180616,0,330,50
38.1,-0.222218,0,330,50
38.4,-0.222834,0,330,50
38.7,-0.185643,0,330,50
39,-0.225571,0,330,50
39.3,-0.230133,0,330,50
39.6,-0.189885,0,330,50
39.9,-0.229087,0,330,50
40.2,-0.233002,0,330,50
40.5,-0.195911,0,330,50
40.8,-0.229191,0,330,50
41.1,-0.237865,0,330,50
41.4,-0.199971,0,330,50
41.7,-0.230491,0,330,50
42,-0.24185,0,330,50
42.3,-0.204637,1,330,50
42.6,-0.229364,1,330,50
42.9,-0.239824,1,330,50
43.2,-0.229085,1,330,50
43.5,-0.27893,1,330,50
43.8,-0.311554,1,330,50
44.1,-0.295013,1,330,50
44.4,-0.335949,1,330,50
44.7,-0.372528,1,330,50
45,-0.358346,1,330,50
45.3,-0.396,1,330,50
45.6,-0.428222,1,330,50
45.9,-0.403725,1,330,50
46.2,-0.431907,1,330,50
46.5,-0.462299,1,330,50
46.8,-0.438582,1,330,50
47.1,-0.467097,1,330,50
47.4,-0.491645,1,330,50
47.7,-0.466985,1,330,50
48,-0.486982,1,330,50
48.3,-0.509206,1,330,50
48.6,-0.491224,1,330,50
48.9,-0.520407,1,330,50
49.2,-0.559408,1,330,50
49.5,-0.539885,1,330,50
49.8,-0.565721,1,330,50
50.1,-0.599272,1,330,50
50.4,-0.581551,1,330,50
50.7,-0.608461,1,330,50
51,-0.639856,1,330,50
51.3,-0.619647,1,330,50
51.6,-0.641868,1,330,50
51.9,-0.67079,1,330,50
52.2,-0.652774,1,330,50
52.5,-0.669586,1,330,50
52.8,-0.698431,1,330,50
53.1,-0.679195,1,330,50
53.4,-0.697131,1,330,50
53.7,-0.725401,1,330,50
54,-0.702285,1,330,50
54.3,-0.719957,1,330,50
54.6,-0.74433,1,330,50
54.9,-0.719961,1,330,50
55.2,-0.738217,1,330,50
55.5,-0.760201,1,330,50
55.8,-0.733298,1,330,50
56.1,-0.750835,1,330,50
56.4,-0.772433,1,330,50
56.7,-0.74365,1,330,50
57,-0.762045,1,330,50
57.3,-0.780636,1,330,50
57.6,-0.750656,1,330,50
57.9,-0.772543,1,330,50
58.2,-0.789357,1,330,50
58.5,-0.759935,1,330,50
58.8,-0.781976,1,330,50
59.1,-0.800551,1,330,50
59.4,-0.765592,1,330,50
59.7,-0.788951,1,330,50
60,-0.804152,1,330,50
60.3,-0.767804,1,330,50
60.6,-0.790033,1,330,50
60.9,-0.801637,1,330,50
61.2,-0.765997,1,330,50
61.5,-0.784267,1,330,50
61.8,-0.794401,1,330,50
62.1,-0.754537,1,330,50
62.4,-0.778721,1,330,50
62.7,-0.784877,1,330,50
63,-0.747636,1,330,50
63.3,-0.772031,1,330,50
63.6,-0.781974,1,330,50
63.9,-0.74685,1,330,50
64.2,-0.768883,1,330,50
64.5,-0.779478,1,330,50
64.8,-0.744326,1,330,50
65.1,-0.772674,1,330,50
65.4,-0.779405,1,330,50
65.7,-0.743777,1,330,50
66,-0.769553,1,330,50
66.3,-0.776587,1,330,50
66.6,-0.740012,1,330,50
66.9,-0.764553,1,330,50
67.2,-0.769529,1,330,50
67.5,-0.728894,1,330,50
67.8,-0.759047,1,330,50
68.1,-0.764324,1,330,50
68.4,-0.724998,1,330,50
68.7,-0.757019,1,330,50
69,-0.760194,1,330,50
69.3,-0.721758,1,330,50
69.6,-0.75322,1,330,50
69.9,-0.756009,1,330,50
70.2,-0.717294,1,330,50
70.5,-0.747022,1,330,50
70.8,-0.750195,1,330,50
71.1,-0.709325,1,330,50
71.4,-0.743082,1,330,50
71.7,-0.747222,1,330,50
72,-0.711031,1,330,50
72.3,-0.745561,0,330,50
72.6,-0.74649,0,330,50
72.9,-0.709548,0,330,50
73.2,-0.74537,0,330,50
73.5,-0.744429,0,330,50
73.8,-0.706498,0,330,50
74.1,-0.744256,0,330,50
74.4,-0.74897,0,330,50
74.7,-0.709345,0,330,50
75,-0.744152,0,330,50
75.3,-0.745611,0,330,50
75.6,-0.709829,0,330,50
75.9,-0.738407,0,330,50
76.2,-0.742316,0,330,50
76.5,-0.702547,0,330,50
76.8,-0.734535,0,330,50
77.1,-0.733548,0,330,50
77.4,-0.696649,0,330,50
77.7,-0.730222,0,330,50
78,-0.7263,0,330,50
78.3,-0.686101,0,330,50
78.6,-0.723677,0,330,50
78.9,-0.717276,0,330,50
79.2,-0.67965,0,330,50
79.5,-0.716415,0,330,50
79.8,-0.713413,0,330,50
80.1,-0.678009,0,330,50
80.4,-0.716786,0,330,50
80.7,-0.714364,0,330,50
81,-0.676483,0,330,50
81.3,-0.714171,0,330,50
81.6,-0.714661,0,330,50
81.9,-0.680637,0,330,50
82.2,-0.718518,0,330,50
82.5,-0.716397,0,330,50
82.8,-0.679378,0,330,50
83.1,-0.716581,0,330,50
83.4,-0.719315,0,330,50
83.7,-0.683738,0,330,50
84,-0.722968,0,330,50
84.3,-0.723233,0,330,50
84.6,-0.686886,0,330,50
84.9,-0.727557,0,330,50
85.2,-0.729136,0,330,50
85.5,-0.690197,0,330,50
85.8,-0.734212,0,330,50
86.1,-0.734504,0,330,50
86.4,-0.697226,0,330,50
86.7,-0.734935,0,330,50
87,-0.735075,0,330,50
87.3,-0.698991,0,330,50
87.6,-0.73565,0,330,50
87.9,-0.732721,0,330,50
88.2,-0.696678,0,330,50
88.5,-0.734845,0,330,50
88.8,-0.733108,0,330,50
89.1,-0.696668,0,330,50
89.4,-0.739412,0,330,50
89.7,-0.735103,0,330,50
90,-0.701061,0,330,50
90.3,-0.741694,0,330,50
90.6,-0.735349,0,330,50
90.9,-0.701004,0,330,50
91.2,-0.738274,0,330,50
91.5,-0.735561,0,330,50
91.8,-0.696691,0,330,50
92.1,-0.73731,0,330,50
92.4,-0.735297,0,330,50
92.7,-0.700238,0,330,50
93,-0.744793,0,330,50
93.3,-0.735044,0,330,50
93.6,-0.69874,0,330,50
93.9,-0.741034,0,330,50
94.2,-0.733305,0,330,50
94.5,-0.69784,0,330,50
94.8,-0.741337,0,330,50
95.1,-0.733017,0,330,50
95.4,-0.701029,0,330,50
95.7,-0.74268,0,330,50
96,-0.73567,0,330,50
96.3,-0.701454,0,330,50
96.6,-0.746051,0,330,50
96.9,-0.737454,0,330,50
97.2,-0.703115,0,330,50
97.5,-0.748154,0,330,50
97.8,-0.741666,0,330,50
98.1,-0.710037,0,330,50
98.4,-0.757784,0,330,50
98.7,-0.746459,0,330,50
99,-0.71218,0,330,50
99.3,-0.755624,0,330,50
99.6,-0.746919,0,330,50
99.9,-0.713502,0,330,50
100.2,-0.75479,0,330,50
100.5,-0.747606,0,330,50
100.8,-0.713731,0,330,50
101.1,-0.756752,0,330,50
101.4,-0.744662,0,330,50
101.7,-0.709954,0,330,50
102,-0.754667,0,330,50
102.3,-0.74542,0,330,50
102.6,-0.713357,0,330,50
102.9,-0.75778,0,330,50
103.2,-0.744152,0,330,50
103.5,-0.710924,0,330,50
103.8,-0.754006,0,330,50
104.1,-0.741304,0,330,50
104.4,-0.710359,0,330,50
104.7,-0.751149,0,330,50
105,-0.739364,0,330,50
105.3,-0.706141,0,330,50
105.6,-0.749168,0,330,50
105.9,-0.734746,0,330,50
106.2,-0.702249,0,330,50
106.5,-0.744261,0,330,50
106.8,-0.732231,0,330,50
107.1,-0.699301,0,330,50
107.4,-0.744009,0,330,50
107.7,-0.73276,0,330,50
108,-0.701234,0,330,50
108.3,-0.743359,0,330,50
108.6,-0.729444,0,330,50
108.9,-0.698222,0,330,50
109.2,-0.740987,0,330,50
109.5,-0.727626,0,330,50
109.8,-0.697483,0,330,50
110.1,-0.744127,0,330,50
110.4,-0.730688,0,330,50
110.7,-0.702396,0,330,50
111,-0.750618,0,330,50
111.3,-0.73649,0,330,50
111.6,-0.707406,0,330,50
111.9,-0.750496,0,330,50
112.2,-0.736236,0,330,50
112.5,-0.706873,0,330,50
112.8,-0.75254,0,330,50
113.1,-0.73711,0,330,50
113.4,-0.707397,0,330,50
113.7,-0.751412,0,330,50
114,-0.736529,0,330,50
114.3,-0.703871,0,330,50
