time,delta_freq,event,power,f0
0,-0.00845975,0,180,50
0.3,-0.00980575,0,180,50
0.6,-0.0101097,0,180,50
0.9,-0.0113942,0,180,50
1.2,-0.0103467,0,180,50
1.5,-0.0105813,0,180,50
1.8,-0.0112885,0,180,50
2.1,-0.0118795,0,180,50
2.4,-0.0117837,0,180,50
2.7,-0.0113548,0,180,50
3,-0.0089455,0,180,50
3.3,-0.00929125,0,180,50
3.6,-0.010123,0,180,50
3.9,-0.009175,0,180,50
4.2,-0.0107025,0,180,50
4.5,-0.0100685,0,180,50
4.8,-0.0109617,0,180,50
5.1,-0.010146,0,180,50
5.4,-0.0105767,0,180,50
5.7,-0.0101755,0,180,50
6,-0.0067535,0,180,50
6.3,-0.00635125,0,180,50
6.6,-0.0058955,0,180,50
6.9,-0.00459,0,180,50
7.2,-0.0025165,0,180,50
7.5,-0.0014695,0,180,50
7.8,0.0003515,0,180,50
8.1,0.00254175,0,180,50
8.4,0.00444425,0,180,50
8.7,0.0100103,0,180,50
9,0.0117315,0,180,50
9.3,0.01484,0,180,50
9.6,0.01775,0,180,50
9.9,0.0199565,0,180,50
10.2,0.022369,0,180,50
10.5,0.0264547,0,180,50
10.8,0.0269557,0,180,50
11.1,0.0293668,0,180,50
11.4,0.0290442,0,180,50
11.7,0.0318235,0,180,50
12,0.0315758,0,180,50
12.3,0.033721,0,180,50
12.6,0.0346752,0,180,50
12.9,0.0343352,0,180,50
13.2,0.035763,0,180,50
13.5,0.0377725,0,180,50
13.8,0.0395412,0,180,50
14.1,0.0414535,0,180,50
14.4,0.0412042,0,180,50
14.7,0.0427077,0,180,50
15,0.0406713,0,180,50
15.3,0.0444058,0,180,50
15.6,0.0440348,0,180,50
15.9,0.0448255,0,180,50
16.2,0.045039,0,180,50
16.5,0.0457782,0,180,50
16.8,0.0438773,0,180,50
17.1,0.0455123,0,180,50
17.4,0.0451397,0,180,50
17.7,0.0464615,0,180,50
18,0.046422,0,180,50
18.3,0.0455803,0,180,50
18.6,0.0457835,0,180,50
18.9,0.0449617,0,180,50
19.2,0.0445273,0,180,50
19.5,0.0451573,0,180,50
19.8,0.0421115,0,180,50
20.1,0.0461377,0,180,50
20.4,0.0451093,0,180,50
20.7,0.0476922,0,180,50
21,0.0491245,0,180,50
21.3,0.051107,0,180,50
21.6,0.050269,0,180,50
21.9,0.0501002,0,180,50
22.2,0.0495963,0,180,50
22.5,0.0488358,0,180,50
22.8,0.049556,0,180,50
23.1,0.049131,0,180,50
23.4,0.0497747,0,180,50
23.7,0.0477325,0,180,50
24,0.0483985,0,180,50
24.3,0.0496235,0,180,50
24.6,0.0489518,0,180,50
24.9,0.0487743,0,180,50
25.2,0.0490498,0,180,50
25.5,0.0489263,0,180,50
25.8,0.04839,0,180,50
26.1,0.0462273,0,180,50
26.4,0.0450593,0,180,50
26.7,0.0448122,0,180,50
27,0.0427042,0,180,50
27.3,0.0427812,0,180,50
27.6,0.0433497,0,180,50
27.9,0.042113,0,180,50
28.2,0.042614,0,180,50
28.5,0.0395483,0,180,50
28.8,0.0399218,0,180,50
29.1,0.040498,0,180,50
29.4,0.0427918,0,180,50
29.7,0.0431995,0,180,50
30,0.0438943,0,180,50
30.3,0.0462757,0,180,50
30.6,0.0457662,0,180,50
30.9,0.0485513,0,180,50
31.2,0.0506595,0,180,50
