time,delta_freq,event,power,f0
0,-0.103524,0,368,50
0.3,-0.101509,0,368,50
0.6,-0.102281,0,368,50
0.9,-0.0979858,0,368,50
1.2,-0.094125,0,368,50
1.5,-0.0959664,0,368,50
1.8,-0.092264,0,368,50
2.1,-0.0947194,0,368,50
2.4,-0.0929968,0,368,50
2.7,-0.0945736,0,368,50
3,-0.0959138,0,368,50
3.3,-0.096664,0,368,50
3.6,-0.0965606,0,368,50
3.9,-0.0973996,0,368,50
4.2,-0.0990254,0,368,50
4.5,-0.0971158,0,368,50
4.8,-0.0998288,0,368,50
5.1,-0.0959896,0,368,50
5.4,-0.102732,0,368,50
5.7,-0.0995262,0,368,50
6,-0.099242,0,368,50
6.3,-0.102167,0,368,50
6.6,-0.0992512,0,368,50
6.9,-0.102943,0,368,50
7.2,-0.100285,0,368,50
7.5,-0.102866,0,368,50
7.8,-0.102251,0,368,50
8.1,-0.100814,0,368,50
8.4,-0.101158,0,368,50
8.7,-0.0997134,0,368,50
9,-0.0996434,0,368,50
9.3,-0.101541,0,368,50
9.6,-0.0999272,0,368,50
9.9,-0.10147,0,368,50
10.2,-0.102031,0,368,50
10.5,-0.104152,0,368,50
10.8,-0.10326,0,368,50
11.1,-0.105319,0,368,50
11.4,-0.106556,0,368,50
11.7,-0.110185,0,368,50
12,-0.108742,0,368,50
12.3,-0.110427,0,368,50
12.6,-0.11069,0,368,50
12.9,-0.110366,0,368,50
13.2,-0.108988,0,368,50
13.5,-0.108731,0,368,50
13.8,-0.107066,0,368,50
14.1,-0.108701,0,368,50
14.4,-0.11,0,368,50
14.7,-0.106709,0,368,50
15,-0.109064,0,368,50
15.3,-0.110001,0,368,50
15.6,-0.104252,0,368,50
15.9,-0.104757,0,368,50
16.2,-0.098949,0,368,50
16.5,-0.101924,0,368,50
16.8,-0.10353,0,368,50
17.1,-0.105111,0,368,50
17.4,-0.0932854,0,368,50
17.7,-0.0917656,0,368,50
18,-0.0960984,0,368,50
18.3,-0.0876646,0,368,50
18.6,-0.0830352,0,368,50
18.9,-0.0830676,0,368,50
19.2,-0.0834686,0,368,50
19.5,-0.0810014,0,368,50
19.8,-0.0794612,0,368,50
20.1,-0.0780908,0,368,50
20.4,-0.0767734,0,368,50
20.7,-0.0741786,0,368,50
21,-0.0684724,0,368,50
21.3,-0.070056,0,368,50
21.6,-0.0672106,0,368,50
21.9,-0.0665666,0,368,50
22.2,-0.0661974,0,368,50
22.5,-0.0649082,0,368,50
22.8,-0.0637062,0,368,50
23.1,-0.0656254,0,368,50
23.4,-0.0620594,0,368,50
23.7,-0.0598122,0,368,50
24,-0.0624736,0,368,50
24.3,-0.0633676,0,368,50
24.6,-0.0617082,0,368,50
24.9,-0.0640618,0,368,50
25.2,-0.0584654,0,368,50
25.5,-0.0555778,0,368,50
25.8,-0.0547352,0,368,50
26.1,-0.0525648,0,368,50
26.4,-0.052375,0,368,50
26.7,-0.045143,0,368,50
27,-0.0412758,0,368,50
27.3,-0.0381402,0,368,50
27.6,-0.0346522,0,368,50
27.9,-0.0312536,0,368,50
28.2,-0.030068,0,368,50
28.5,-0.0305862,0,368,50
28.8,-0.031004,0,368,50
29.1,-0.0305412,0,368,50
29.4,-0.0343622,0,368,50
29.7,-0.0289534,0,368,50
30,-0.0234498,0,368,50
30.3,-0.0243528,0,368,50
