time,delta_freq,event,power,f0
0,-0.0775113,0,275,50
0.3,-0.0803342,0,275,50
0.6,-0.0824347,0,275,50
0.9,-0.084196,0,275,50
1.2,-0.0847247,0,275,50
1.5,-0.087357,0,275,50
1.8,-0.0865765,0,275,50
2.1,-0.0897295,0,275,50
2.4,-0.092544,0,275,50
2.7,-0.094279,0,275,50
3,-0.095597,0,275,50
3.3,-0.095368,0,275,50
3.6,-0.0977445,0,275,50
3.9,-0.0978422,0,275,50
4.2,-0.099217,0,275,50
4.5,-0.101481,0,275,50
4.8,-0.102322,0,275,50
5.1,-0.102368,0,275,50
5.4,-0.102443,0,275,50
5.7,-0.103178,0,275,50
6,-0.104093,0,275,50
6.3,-0.104903,0,275,50
6.6,-0.10341,0,275,50
6.9,-0.10601,0,275,50
7.2,-0.107493,0,275,50
7.5,-0.110971,0,275,50
7.8,-0.111863,0,275,50
8.1,-0.114871,0,275,50
8.4,-0.115401,0,275,50
8.7,-0.117965,0,275,50
9,-0.121332,0,275,50
9.3,-0.12142,0,275,50
9.6,-0.127676,0,275,50
9.9,-0.128927,0,275,50
10.2,-0.13122,0,275,50
10.5,-0.135284,0,275,50
10.8,-0.133722,0,275,50
11.1,-0.138628,0,275,50
11.4,-0.139179,0,275,50
11.7,-0.136191,0,275,50
12,-0.138615,0,275,50
12.3,-0.139632,0,275,50
12.6,-0.141634,0,275,50
12.9,-0.140757,0,275,50
13.2,-0.13891,0,275,50
13.5,-0.140531,0,275,50
13.8,-0.138611,0,275,50
14.1,-0.1432,0,275,50
14.4,-0.140629,0,275,50
14.7,-0.138092,0,275,50
15,-0.139641,0,275,50
15.3,-0.138207,0,275,50
15.6,-0.134848,0,275,50
15.9,-0.131481,0,275,50
16.2,-0.133079,0,275,50
16.5,-0.133519,0,275,50
16.8,-0.133488,0,275,50
17.1,-0.133475,0,275,50
17.4,-0.131228,0,275,50
17.7,-0.129678,0,275,50
18,-0.129617,0,275,50
18.3,-0.129413,0,275,50
18.6,-0.128349,0,275,50
18.9,-0.127862,0,275,50
19.2,-0.125101,0,275,50
19.5,-0.124077,0,275,50
19.8,-0.121392,0,275,50
20.1,-0.121209,0,275,50
20.4,-0.11985,0,275,50
20.7,-0.117209,0,275,50
21,-0.117274,0,275,50
21.3,-0.115445,0,275,50
21.6,-0.114936,0,275,50
21.9,-0.113168,0,275,50
22.2,-0.110018,0,275,50
22.5,-0.10813,0,275,50
22.8,-0.105883,0,275,50
23.1,-0.106139,0,275,50
23.4,-0.104781,0,275,50
23.7,-0.105506,0,275,50
24,-0.104946,0,275,50
24.3,-0.10406,0,275,50
24.6,-0.101831,0,275,50
24.9,-0.101476,0,275,50
25.2,-0.101406,0,275,50
25.5,-0.099786,0,275,50
25.8,-0.0995287,0,275,50
26.1,-0.097113,0,275,50
26.4,-0.0968903,0,275,50
26.7,-0.0966278,0,275,50
27,-0.0975665,0,275,50
27.3,-0.09783,0,275,50
27.6,-0.0990483,0,275,50
27.9,-0.099976,0,275,50
28.2,-0.100913,0,275,50
28.5,-0.101169,0,275,50
28.8,-0.101479,0,275,50
29.1,-0.103443,0,275,50
29.4,-0.103012,0,275,50
29.7,-0.104464,0,275,50
30,-0.108295,0,275,50
30.3,-0.109326,0,275,50
30.6,-0.112265,0,275,50
