time,delta_freq,event,power,f0
0,-0.0346353,0,91,50
0.3,-0.0368397,0,91,50
0.6,-0.0329677,0,91,50
0.9,-0.034175,0,91,50
1.2,-0.035372,0,91,50
1.5,-0.0358027,0,91,50
1.8,-0.03665,0,91,50
2.1,-0.0359787,0,91,50
2.4,-0.0352137,0,91,50
2.7,-0.0350797,0,91,50
3,-0.0369597,0,91,50
3.3,-0.034936,0,91,50
3.6,-0.0344577,0,91,50
3.9,-0.032572,0,91,50
4.2,-0.0355737,0,91,50
4.5,-0.037439,0,91,50
4.8,-0.0332023,0,91,50
5.1,-0.0347863,0,91,50
5.4,-0.037198,0,91,50
5.7,-0.03564,0,91,50
6,-0.036688,0,91,50
6.3,-0.0371173,0,91,50
6.6,-0.036974,0,91,50
6.9,-0.0382183,0,91,50
7.2,-0.036374,0,91,50
7.5,-0.0332533,0,91,50
7.8,-0.0336317,0,91,50
8.1,-0.0302223,0,91,50
8.4,-0.0278433,0,91,50
8.7,-0.0272783,0,91,50
9,-0.0286167,0,91,50
9.3,-0.026346,0,91,50
9.6,-0.0219103,0,91,50
9.9,-0.0242097,0,91,50
10.2,-0.0245607,0,91,50
10.5,-0.023429,0,91,50
10.8,-0.0228503,0,91,50
11.1,-0.0262703,0,91,50
11.4,-0.0285573,0,91,50
11.7,-0.0295013,0,91,50
12,-0.0269463,0,91,50
12.3,-0.0340127,0,91,50
12.6,-0.0331023,0,91,50
12.9,-0.0330997,0,91,50
13.2,-0.033175,0,91,50
13.5,-0.0383117,0,91,50
13.8,-0.0392897,0,91,50
14.1,-0.0375887,0,91,50
14.4,-0.0376243,0,91,50
14.7,-0.0375637,0,91,50
15,-0.0359063,0,91,50
15.3,-0.034149,0,91,50
15.6,-0.0352403,0,91,50
15.9,-0.0358057,0,91,50
16.2,-0.0325917,0,91,50
16.5,-0.031851,0,91,50
16.8,-0.028493,0,91,50
17.1,-0.0299273,0,91,50
17.4,-0.0258517,0,91,50
17.7,-0.024587,0,91,50
18,-0.0228277,0,91,50
18.3,-0.0224003,0,91,50
18.6,-0.016667,0,91,50
18.9,-0.015881,0,91,50
19.2,-0.0108337,0,91,50
19.5,-0.011215,0,91,50
19.8,-0.006216,0,91,50
20.1,-0.00531833,0,91,50
20.4,0.000777333,0,91,50
20.7,-0.00119467,0,91,50
21,0.000571667,0,91,50
21.3,-0.000781,0,91,50
21.6,0.00227667,0,91,50
21.9,-0.000697667,0,91,50
22.2,0.001877,0,91,50
22.5,0.00330767,0,91,50
22.8,0.00382467,0,91,50
23.1,0.00413967,0,91,50
23.4,0.001395,0,91,50
23.7,0.001286,0,91,50
24,0.00230433,0,91,50
24.3,0.00172933,0,91,50
24.6,0.001292,0,91,50
24.9,0.00160533,0,91,50
25.2,0.00398433,0,91,50
25.5,0.00532333,0,91,50
25.8,0.004738,0,91,50
26.1,0.00399333,0,91,50
26.4,0.00521067,0,91,50
26.7,0.00438367,0,91,50
27,0.00607,0,91,50
27.3,0.00558767,0,91,50
27.6,0.00944933,0,91,50
27.9,0.00544567,0,91,50
28.2,0.00485167,0,91,50
28.5,0.00712067,0,91,50
28.8,0.0103823,0,91,50
29.1,0.007764,0,91,50
29.4,0.00968933,0,91,50
29.7,0.009656,0,91,50
30,0.0117173,0,91,50
30.3,0.00925433,0,91,50
30.6,0.0122567,0,91,50
30.9,0.0118153,0,91,50
31.2,0.0146283,0,91,50
31.5,0.011871,0,91,50
31.8,0.011833,0,91,50
32.1,0.013086,0,91,50
32.4,0.0136063,0,91,50
32.7,0.0108093,0,91,50
33,0.00967267,0,91,50
33.3,0.013062,0,91,50
33.6,0.0118087,0,91,50
33.9,0.010393,0,91,50
34.2,0.0107997,0,91,50
34.5,0.00885167,0,91,50
34.8,0.004554,0,91,50
35.1,0.00520533,0,91,50
35.4,0.00531767,0,91,50
35.7,0.00584033,0,91,50
36,0.00825467,0,91,50
36.3,0.00564333,0,91,50
36.6,0.00492867,0,91,50
36.9,0.005145,0,91,50
37.2,0.006535,0,91,50
37.5,0.00574067,0,91,50
37.8,0.00526967,0,91,50
38.1,0.00927333,0,91,50
38.4,0.010019,0,91,50
38.7,0.00811933,0,91,50
39,0.00956233,0,91,50
39.3,0.00704267,0,91,50
39.6,0.00894833,0,91,50
39.9,0.00451033,0,91,50
40.2,0.00502767,0,91,50
40.5,0.005157,0,91,50
40.8,0.004033,0,91,50
41.1,0.001237,0,91,50
41.4,0.001201,0,91,50
41.7,-6.6e-05,0,91,50
42,-0.000784333,0,91,50
42.3,-0.002191,0,91,50
42.6,-0.002255,0,91,50
42.9,-0.00337733,0,91,50
43.2,-0.00300867,0,91,50
43.5,-0.003106,0,91,50
43.8,-0.00421733,0,91,50
44.1,-0.00617467,0,91,50
44.4,-0.0101277,0,91,50
44.7,-0.00758867,0,91,50
45,-0.007707,0,91,50
45.3,-0.00993667,0,91,50
45.6,-0.009732,0,91,50
45.9,-0.0129973,0,91,50
46.2,-0.0128553,0,91,50
46.5,-0.0173787,0,91,50
46.8,-0.01665,0,91,50
47.1,-0.0177983,0,91,50
47.4,-0.0198167,0,91,50
47.7,-0.023325,0,91,50
48,-0.020935,0,91,50
48.3,-0.0236613,0,91,50
48.6,-0.0253717,0,91,50
48.9,-0.0256703,0,91,50
49.2,-0.0268623,0,91,50
49.5,-0.027471,0,91,50
49.8,-0.0271903,0,91,50
50.1,-0.0277993,0,91,50
50.4,-0.028462,1,91,50
50.7,-0.0281017,1,91,50
51,-0.0308907,1,91,50
51.3,-0.034007,1,91,50
51.6,-0.0387113,1,91,50
51.9,-0.0498547,1,91,50
52.2,-0.0622127,1,91,50
52.5,-0.0705323,1,91,50
52.8,-0.0791857,1,91,50
53.1,-0.0846003,1,91,50
53.4,-0.0915433,1,91,50
53.7,-0.0977203,1,91,50
54,-0.103981,1,91,50
54.3,-0.109415,1,91,50
54.6,-0.112537,1,91,50
54.9,-0.11738,1,91,50
55.2,-0.121087,1,91,50
55.5,-0.123772,1,91,50
55.8,-0.126259,1,91,50
56.1,-0.126102,1,91,50
56.4,-0.123463,1,91,50
56.7,-0.125571,1,91,50
57,-0.125796,1,91,50
57.3,-0.125707,1,91,50
57.6,-0.124161,1,91,50
