time,delta_freq,event,power,f0
0,-0.0873465,0,180,50
0.3,-0.087591,0,180,50
0.6,-0.0875625,0,180,50
0.9,-0.0891975,0,180,50
1.2,-0.088497,0,180,50
1.5,-0.0895455,0,180,50
1.8,-0.089014,0,180,50
2.1,-0.09028,0,180,50
2.4,-0.0946138,0,180,50
2.7,-0.0927685,0,180,50
3,-0.0983857,0,180,50
3.3,-0.100116,0,180,50
3.6,-0.102668,0,180,50
3.9,-0.107606,0,180,50
4.2,-0.112463,0,180,50
4.5,-0.109711,0,180,50
4.8,-0.11241,0,180,50
5.1,-0.116769,0,180,50
5.4,-0.118115,0,180,50
5.7,-0.11803,0,180,50
6,-0.117987,0,180,50
6.3,-0.124051,0,180,50
6.6,-0.12178,0,180,50
6.9,-0.122751,0,180,50
7.2,-0.124529,0,180,50
7.5,-0.126055,0,180,50
7.8,-0.126519,0,180,50
8.1,-0.121586,0,180,50
8.4,-0.126615,0,180,50
8.7,-0.123398,0,180,50
9,-0.125372,0,180,50
9.3,-0.123343,0,180,50
9.6,-0.123476,0,180,50
9.9,-0.120339,0,180,50
10.2,-0.120976,0,180,50
10.5,-0.121248,0,180,50
10.8,-0.123324,0,180,50
11.1,-0.12475,0,180,50
11.4,-0.118046,0,180,50
11.7,-0.114636,0,180,50
12,-0.121105,0,180,50
12.3,-0.120699,0,180,50
12.6,-0.122918,0,180,50
12.9,-0.122952,0,180,50
13.2,-0.124217,0,180,50
13.5,-0.127026,0,180,50
13.8,-0.126065,0,180,50
14.1,-0.126053,0,180,50
14.4,-0.124912,0,180,50
14.7,-0.124486,0,180,50
15,-0.129795,0,180,50
15.3,-0.125444,0,180,50
15.6,-0.117535,0,180,50
15.9,-0.124845,0,180,50
16.2,-0.125454,0,180,50
16.5,-0.13201,0,180,50
16.8,-0.1338,0,180,50
17.1,-0.128563,0,180,50
17.4,-0.131484,0,180,50
17.7,-0.134096,0,180,50
18,-0.135805,0,180,50
18.3,-0.131127,0,180,50
18.6,-0.136333,0,180,50
18.9,-0.137405,0,180,50
19.2,-0.154514,0,180,50
19.5,-0.135092,0,180,50
19.8,-0.131828,0,180,50
20.1,-0.129224,0,180,50
20.4,-0.128892,0,180,50
20.7,-0.129187,0,180,50
21,-0.12779,0,180,50
21.3,-0.125358,0,180,50
21.6,-0.126962,0,180,50
21.9,-0.124099,0,180,50
22.2,-0.122922,0,180,50
22.5,-0.124889,0,180,50
22.8,-0.121898,0,180,50
23.1,-0.124111,0,180,50
23.4,-0.121764,0,180,50
23.7,-0.125864,0,180,50
24,-0.1256,0,180,50
24.3,-0.129978,0,180,50
24.6,-0.129425,0,180,50
24.9,-0.131188,0,180,50
25.2,-0.134259,0,180,50
25.5,-0.138152,0,180,50
25.8,-0.137345,0,180,50
26.1,-0.139519,0,180,50
26.4,-0.14311,0,180,50
26.7,-0.13851,0,180,50
27,-0.144842,0,180,50
27.3,-0.142926,0,180,50
27.6,-0.143603,0,180,50
27.9,-0.14185,0,180,50
28.2,-0.142197,0,180,50
28.5,-0.142098,0,180,50
28.8,-0.136059,0,180,50
29.1,-0.138721,0,180,50
29.4,-0.139103,0,180,50
29.7,-0.138403,0,180,50
30,-0.136173,0,180,50
30.3,-0.137277,0,180,50
30.6,-0.13982,0,180,50
30.9,-0.137014,0,180,50
31.2,-0.128586,0,180,50
31.5,-0.133782,0,180,50
31.8,-0.128996,0,180,50
32.1,-0.133232,0,180,50
32.4,-0.123728,0,180,50
32.7,-0.122687,0,180,50
33,-0.123606,0,180,50
33.3,-0.12508,0,180,50
33.6,-0.128762,0,180,50
33.9,-0.128166,0,180,50
34.2,-0.131622,0,180,50
34.5,-0.135183,0,180,50
34.8,-0.132764,0,180,50
35.1,-0.131757,0,180,50
35.4,-0.136662,0,180,50
35.7,-0.136026,0,180,50
36,-0.137766,0,180,50
36.3,-0.138215,0,180,50
36.6,-0.141356,0,180,50
36.9,-0.139527,0,180,50
37.2,-0.145246,0,180,50
37.5,-0.141934,0,180,50
37.8,-0.144838,0,180,50
38.1,-0.145998,0,180,50
38.4,-0.146028,0,180,50
38.7,-0.144216,0,180,50
39,-0.142161,0,180,50
39.3,-0.144076,0,180,50
39.6,-0.145342,0,180,50
39.9,-0.145096,0,180,50
40.2,-0.146662,0,180,50
40.5,-0.142568,0,180,50
40.8,-0.137235,0,180,50
41.1,-0.137369,0,180,50
41.4,-0.132081,0,180,50
41.7,-0.13227,0,180,50
42,-0.134008,0,180,50
42.3,-0.131556,0,180,50
42.6,-0.130865,0,180,50
42.9,-0.129676,0,180,50
43.2,-0.125132,0,180,50
43.5,-0.119963,0,180,50
43.8,-0.115608,0,180,50
44.1,-0.115628,0,180,50
44.4,-0.115381,0,180,50
44.7,-0.112413,0,180,50
45,-0.111197,0,180,50
45.3,-0.112313,0,180,50
45.6,-0.106843,0,180,50
45.9,-0.103032,0,180,50
46.2,-0.099574,0,180,50
46.5,-0.102854,0,180,50
46.8,-0.101129,0,180,50
47.1,-0.100713,0,180,50
47.4,-0.101085,0,180,50
47.7,-0.102284,0,180,50
48,-0.103093,0,180,50
48.3,-0.10368,0,180,50
48.6,-0.106035,0,180,50
48.9,-0.108216,0,180,50
49.2,-0.106862,0,180,50
49.5,-0.113809,0,180,50
49.8,-0.11024,0,180,50
50.1,-0.11166,0,180,50
50.4,-0.111319,0,180,50
50.7,-0.111268,0,180,50
51,-0.111257,0,180,50
51.3,-0.111853,0,180,50
51.6,-0.108485,0,180,50
51.9,-0.1042,0,180,50
52.2,-0.100975,0,180,50
52.5,-0.099137,0,180,50
52.8,-0.095945,0,180,50
53.1,-0.0925577,0,180,50
53.4,-0.0908742,0,180,50
53.7,-0.0882675,1,180,50
54,-0.085346,1,180,50
54.3,-0.094591,1,180,50
54.6,-0.104353,1,180,50
54.9,-0.11161,1,180,50
55.2,-0.120736,1,180,50
55.5,-0.133765,1,180,50
55.8,-0.147275,1,180,50
56.1,-0.1578,1,180,50
56.4,-0.166143,1,180,50
56.7,-0.176567,1,180,50
57,-0.187294,1,180,50
57.3,-0.195391,1,180,50
57.6,-0.204806,1,180,50
57.9,-0.214033,1,180,50
58.2,-0.219285,1,180,50
58.5,-0.229289,1,180,50
58.8,-0.235398,1,180,50
59.1,-0.242736,1,180,50
59.4,-0.245431,1,180,50
59.7,-0.250523,1,180,50
60,-0.25504,1,180,50
60.3,-0.255647,1,180,50
60.6,-0.258473,1,180,50
60.9,-0.258774,1,180,50
61.2,-0.258514,1,180,50
61.5,-0.258459,1,180,50
61.8,-0.259723,1,180,50
62.1,-0.261255,1,180,50
62.4,-0.263679,1,180,50
62.7,-0.265492,1,180,50
63,-0.268208,1,180,50
63.3,-0.268158,1,180,50
63.6,-0.271133,1,180,50
63.9,-0.274911,1,180,50
64.2,-0.274029,1,180,50
64.5,-0.27631,1,180,50
64.8,-0.276617,1,180,50
65.1,-0.277103,1,180,50
65.4,-0.27897,1,180,50
65.7,-0.281111,1,180,50
66,-0.28304,1,180,50
66.3,-0.285901,1,180,50
66.6,-0.286106,1,180,50
66.9,-0.288154,1,180,50
67.2,-0.285941,1,180,50
67.5,-0.286375,1,180,50
67.8,-0.286756,1,180,50
68.1,-0.284992,1,180,50
68.4,-0.286077,1,180,50
68.7,-0.282778,1,180,50
69,-0.280669,1,180,50
69.3,-0.277306,1,180,50
69.6,-0.275203,1,180,50
69.9,-0.273197,1,180,50
70.2,-0.270731,1,180,50
70.5,-0.268636,1,180,50
70.8,-0.265376,1,180,50
71.1,-0.263406,1,180,50
71.4,-0.262575,1,180,50
71.7,-0.260301,1,180,50
72,-0.2582,1,180,50
72.3,-0.256895,1,180,50
72.6,-0.256181,1,180,50
72.9,-0.25336,1,180,50
73.2,-0.250886,1,180,50
73.5,-0.249921,1,180,50
73.8,-0.248917,1,180,50
74.1,-0.246164,1,180,50
74.4,-0.242553,1,180,50
74.7,-0.241731,1,180,50
75,-0.239634,1,180,50
75.3,-0.238675,1,180,50
75.6,-0.237088,1,180,50
75.9,-0.236702,1,180,50
76.2,-0.234892,1,180,50
76.5,-0.23428,1,180,50
76.8,-0.234072,1,180,50
77.1,-0.231712,1,180,50
77.4,-0.230813,1,180,50
77.7,-0.2297,1,180,50
78,-0.22983,1,180,50
78.3,-0.230316,1,180,50
78.6,-0.230318,1,180,50
78.9,-0.225043,1,180,50
79.2,-0.222786,1,180,50
79.5,-0.223018,1,180,50
79.8,-0.22002,1,180,50
80.1,-0.219208,1,180,50
80.4,-0.22414,1,180,50
80.7,-0.218255,1,180,50
81,-0.220249,1,180,50
81.3,-0.220692,1,180,50
81.6,-0.220595,1,180,50
81.9,-0.227189,1,180,50
82.2,-0.230832,1,180,50
82.5,-0.232624,1,180,50
82.8,-0.239192,1,180,50
83.1,-0.241232,1,180,50
83.4,-0.246488,1,180,50
83.7,-0.249716,0,180,50
84,-0.249711,0,180,50
84.3,-0.252953,0,180,50
84.6,-0.255095,0,180,50
84.9,-0.248807,0,180,50
85.2,-0.24669,0,180,50
85.5,-0.24372,0,180,50
85.8,-0.248713,0,180,50
86.1,-0.242959,0,180,50
86.4,-0.247168,0,180,50
86.7,-0.250648,0,180,50
87,-0.248833,0,180,50
87.3,-0.250396,0,180,50
87.6,-0.24895,0,180,50
87.9,-0.251838,0,180,50
88.2,-0.253628,0,180,50
88.5,-0.25524,0,180,50
88.8,-0.256124,0,180,50
89.1,-0.258359,0,180,50
89.4,-0.257158,0,180,50
89.7,-0.260835,0,180,50
90,-0.259627,0,180,50
90.3,-0.259678,0,180,50
90.6,-0.252303,0,180,50
90.9,-0.254106,0,180,50
91.2,-0.248761,0,180,50
91.5,-0.250307,0,180,50
91.8,-0.245188,0,180,50
92.1,-0.241974,0,180,50
92.4,-0.246134,0,180,50
92.7,-0.246211,0,180,50
93,-0.242596,0,180,50
93.3,-0.241186,0,180,50
93.6,-0.242164,0,180,50
93.9,-0.237756,0,180,50
94.2,-0.240279,0,180,50
94.5,-0.242506,0,180,50
94.8,-0.232644,0,180,50
95.1,-0.228681,0,180,50
95.4,-0.229452,0,180,50
95.7,-0.227429,0,180,50
96,-0.228233,0,180,50
96.3,-0.224885,0,180,50
96.6,-0.222604,0,180,50
96.9,-0.219231,0,180,50
97.2,-0.216858,0,180,50
97.5,-0.220884,0,180,50
97.8,-0.210142,0,180,50
98.1,-0.219561,0,180,50
98.4,-0.209609,0,180,50
98.7,-0.212947,0,180,50
99,-0.218424,0,180,50
99.3,-0.218215,0,180,50
99.6,-0.221655,0,180,50
