time,delta_freq,event,power,f0
0,0.0349618,0,187,50
0.3,0.0359208,0,187,50
0.6,0.0375347,0,187,50
0.9,0.0381207,0,187,50
1.2,0.0398923,0,187,50
1.5,0.0402512,0,187,50
1.8,0.0400765,0,187,50
2.1,0.0397392,0,187,50
2.4,0.0397977,0,187,50
2.7,0.040529,0,187,50
3,0.04008,0,187,50
3.3,0.0392123,0,187,50
3.6,0.038963,0,187,50
3.9,0.0402957,0,187,50
4.2,0.039587,0,187,50
4.5,0.0421417,0,187,50
4.8,0.0422325,0,187,50
5.1,0.044344,0,187,50
5.4,0.04376,0,187,50
5.7,0.0434535,0,187,50
6,0.0440428,0,187,50
6.3,0.0434192,0,187,50
6.6,0.043873,0,187,50
6.9,0.042715,0,187,50
7.2,0.0418865,0,187,50
7.5,0.0410153,0,187,50
7.8,0.0388398,0,187,50
8.1,0.0370578,0,187,50
8.4,0.0372597,0,187,50
8.7,0.0354065,0,187,50
9,0.0337165,0,187,50
9.3,0.031983,0,187,50
9.6,0.0332852,0,187,50
9.9,0.0352963,0,187,50
10.2,0.0339695,0,187,50
10.5,0.0336705,0,187,50
10.8,0.0338638,0,187,50
11.1,0.0397368,0,187,50
11.4,0.036435,0,187,50
11.7,0.037885,0,187,50
12,0.0371588,0,187,50
12.3,0.0386895,0,187,50
12.6,0.0390843,0,187,50
12.9,0.0405245,0,187,50
13.2,0.0410655,0,187,50
13.5,0.0415652,0,187,50
13.8,0.0425035,0,187,50
14.1,0.042885,0,187,50
14.4,0.0414727,0,187,50
14.7,0.0434958,0,187,50
15,0.0449383,0,187,50
15.3,0.04758,0,187,50
15.6,0.0462515,0,187,50
15.9,0.0474532,0,187,50
16.2,0.0483013,0,187,50
16.5,0.0488907,0,187,50
16.8,0.048554,0,187,50
17.1,0.0480402,0,187,50
17.4,0.0499485,0,187,50
17.7,0.0513968,0,187,50
18,0.051111,0,187,50
18.3,0.0493418,0,187,50
18.6,0.0474068,0,187,50
18.9,0.0505572,0,187,50
19.2,0.0515483,0,187,50
19.5,0.05238,0,187,50
19.8,0.0530135,0,187,50
20.1,0.0539877,0,187,50
20.4,0.055008,0,187,50
20.7,0.0561685,0,187,50
21,0.0576267,0,187,50
21.3,0.0584803,0,187,50
21.6,0.0592858,0,187,50
21.9,0.062179,0,187,50
22.2,0.0650667,0,187,50
22.5,0.0666135,0,187,50
22.8,0.0660795,0,187,50
23.1,0.0660595,0,187,50
23.4,0.0646555,0,187,50
23.7,0.0649685,0,187,50
24,0.0645075,0,187,50
24.3,0.063102,0,187,50
24.6,0.0617712,0,187,50
24.9,0.0576852,0,187,50
25.2,0.0556293,0,187,50
25.5,0.0536695,0,187,50
25.8,0.0523393,0,187,50
26.1,0.0501517,0,187,50
26.4,0.047657,0,187,50
26.7,0.0463922,0,187,50
27,0.0446983,0,187,50
27.3,0.041995,0,187,50
27.6,0.0394175,0,187,50
27.9,0.0372307,0,187,50
28.2,0.0351325,0,187,50
28.5,0.0336765,0,187,50
28.8,0.031428,0,187,50
29.1,0.0294715,0,187,50
29.4,0.0284032,0,187,50
29.7,0.0271525,0,187,50
30,0.0285505,0,187,50
30.3,0.0279455,0,187,50
30.6,0.025381,0,187,50
30.9,0.0247022,0,187,50
31.2,0.0252045,0,187,50
31.5,0.025288,0,187,50
31.8,0.0249125,0,187,50
32.1,0.02172,0,187,50
32.4,0.0224393,0,187,50
32.7,0.0245963,0,187,50
33,0.0243313,0,187,50
33.3,0.0258387,1,187,50
33.6,0.027336,1,187,50
33.9,0.023576,1,187,50
34.2,0.0081455,1,187,50
34.5,-0.0166787,1,187,50
34.8,-0.0394395,1,187,50
35.1,-0.0554475,1,187,50
35.4,-0.0668788,1,187,50
35.7,-0.0828545,1,187,50
36,-0.098877,1,187,50
36.3,-0.116173,1,187,50
36.6,-0.129624,1,187,50
36.9,-0.142986,1,187,50
37.2,-0.150607,1,187,50
37.5,-0.163152,1,187,50
37.8,-0.173963,1,187,50
