time,delta_freq,event,power,f0
0,0.043722,0,300,50
0.3,0.0437667,0,300,50
0.6,0.0415287,0,300,50
0.9,0.041658,0,300,50
1.2,0.0428843,0,300,50
1.5,0.0431207,0,300,50
1.8,0.042442,0,300,50
2.1,0.040767,0,300,50
2.4,0.040485,0,300,50
2.7,0.0415627,0,300,50
3,0.043354,0,300,50
3.3,0.044562,0,300,50
3.6,0.0454627,0,300,50
3.9,0.0456227,0,300,50
4.2,0.0469037,0,300,50
4.5,0.0477837,0,300,50
4.8,0.05089,0,300,50
5.1,0.05314,0,300,50
5.4,0.0547333,0,300,50
5.7,0.0558357,0,300,50
6,0.058926,0,300,50
6.3,0.062335,0,300,50
6.6,0.0635193,0,300,50
6.9,0.0654013,0,300,50
7.2,0.066216,0,300,50
7.5,0.0655817,0,300,50
7.8,0.0676877,0,300,50
8.1,0.0703483,0,300,50
8.4,0.0715967,0,300,50
8.7,0.0696957,0,300,50
9,0.0711123,0,300,50
9.3,0.0697953,0,300,50
9.6,0.0661097,0,300,50
9.9,0.0700357,0,300,50
10.2,0.0692457,0,300,50
10.5,0.0664443,0,300,50
10.8,0.0657753,0,300,50
11.1,0.0654977,0,300,50
11.4,0.0647537,0,300,50
11.7,0.0654673,0,300,50
12,0.063534,0,300,50
12.3,0.0619077,0,300,50
12.6,0.0645577,0,300,50
12.9,0.0635633,0,300,50
13.2,0.064011,0,300,50
13.5,0.063997,0,300,50
13.8,0.0600703,0,300,50
14.1,0.058726,0,300,50
14.4,0.0584483,0,300,50
14.7,0.0555047,0,300,50
15,0.0578453,0,300,50
15.3,0.053841,0,300,50
15.6,0.0504273,0,300,50
15.9,0.0484897,0,300,50
16.2,0.0487887,0,300,50
16.5,0.047541,0,300,50
16.8,0.0449483,0,300,50
17.1,0.04218,0,300,50
17.4,0.0417593,0,300,50
17.7,0.0408983,0,300,50
18,0.0412013,0,300,50
18.3,0.0401857,0,300,50
18.6,0.0370263,0,300,50
18.9,0.0355883,0,300,50
19.2,0.034214,0,300,50
19.5,0.0349057,0,300,50
19.8,0.0323087,0,300,50
20.1,0.035893,0,300,50
20.4,0.0347297,0,300,50
20.7,0.034227,0,300,50
21,0.0352017,0,300,50
21.3,0.037928,0,300,50
21.6,0.0386717,0,300,50
21.9,0.0376663,0,300,50
22.2,0.037826,0,300,50
22.5,0.0384133,0,300,50
22.8,0.0399717,0,300,50
23.1,0.0415347,0,300,50
23.4,0.0402697,0,300,50
23.7,0.040632,0,300,50
24,0.0401203,0,300,50
24.3,0.0418047,0,300,50
24.6,0.0454803,0,300,50
24.9,0.0452963,0,300,50
25.2,0.044448,0,300,50
25.5,0.044817,0,300,50
25.8,0.0465577,0,300,50
26.1,0.0481383,0,300,50
26.4,0.048082,0,300,50
26.7,0.049061,0,300,50
27,0.048596,0,300,50
27.3,0.0489243,0,300,50
27.6,0.0480487,0,300,50
27.9,0.0474537,0,300,50
28.2,0.0467187,0,300,50
28.5,0.046522,0,300,50
28.8,0.045828,0,300,50
29.1,0.0462777,0,300,50
29.4,0.0484367,0,300,50
29.7,0.048415,0,300,50
30,0.047684,0,300,50
30.3,0.0494403,0,300,50
30.6,0.048836,0,300,50
30.9,0.0513083,0,300,50
31.2,0.0550663,0,300,50
31.5,0.0550417,0,300,50
31.8,0.0553847,0,300,50
32.1,0.0547703,0,300,50
32.4,0.0566237,0,300,50
32.7,0.0543203,0,300,50
33,0.0556553,0,300,50
33.3,0.0571607,0,300,50
33.6,0.0551923,0,300,50
33.9,0.05676,0,300,50
34.2,0.0591733,1,300,50
34.5,0.059553,1,300,50
34.8,0.0364083,1,300,50
35.1,0.002769,1,300,50
35.4,-0.0174007,1,300,50
35.7,-0.036354,1,300,50
36,-0.0665953,1,300,50
36.3,-0.0988763,1,300,50
36.6,-0.125027,1,300,50
36.9,-0.149417,1,300,50
37.2,-0.173167,1,300,50
37.5,-0.191825,1,300,50
37.8,-0.212572,1,300,50
38.1,-0.2341,1,300,50
38.4,-0.255427,1,300,50
38.7,-0.272582,1,300,50
39,-0.288344,1,300,50
39.3,-0.301553,1,300,50
39.6,-0.316887,1,300,50
39.9,-0.330967,1,300,50
40.2,-0.339677,1,300,50
40.5,-0.350032,1,300,50
40.8,-0.357375,1,300,50
41.1,-0.360401,1,300,50
41.4,-0.364006,1,300,50
41.7,-0.368382,1,300,50
42,-0.370401,1,300,50
42.3,-0.371018,1,300,50
42.6,-0.372825,1,300,50
42.9,-0.373434,1,300,50
43.2,-0.374609,1,300,50
43.5,-0.374719,1,300,50
43.8,-0.375666,1,300,50
44.1,-0.373131,1,300,50
44.4,-0.370898,1,300,50
44.7,-0.369988,1,300,50
45,-0.369671,1,300,50
45.3,-0.366022,1,300,50
45.6,-0.363581,1,300,50
45.9,-0.361456,1,300,50
46.2,-0.359499,1,300,50
46.5,-0.356569,1,300,50
46.8,-0.35651,1,300,50
47.1,-0.354995,1,300,50
47.4,-0.35177,1,300,50
47.7,-0.348035,1,300,50
48,-0.344515,1,300,50
48.3,-0.340954,1,300,50
48.6,-0.338756,1,300,50
48.9,-0.332325,1,300,50
49.2,-0.329461,1,300,50
49.5,-0.326491,1,300,50
49.8,-0.320868,1,300,50
50.1,-0.318639,1,300,50
50.4,-0.31281,1,300,50
50.7,-0.309409,1,300,50
51,-0.30635,1,300,50
51.3,-0.303204,1,300,50
51.6,-0.299578,1,300,50
51.9,-0.296844,1,300,50
52.2,-0.292971,1,300,50
52.5,-0.289492,1,300,50
52.8,-0.284119,1,300,50
53.1,-0.281037,1,300,50
53.4,-0.278288,1,300,50
53.7,-0.275194,1,300,50
54,-0.272358,1,300,50
54.3,-0.26932,1,300,50
54.6,-0.265696,1,300,50
54.9,-0.263842,1,300,50
55.2,-0.262626,1,300,50
55.5,-0.260044,1,300,50
55.8,-0.256723,1,300,50
56.1,-0.254006,1,300,50
56.4,-0.253107,1,300,50
56.7,-0.249732,1,300,50
57,-0.247438,1,300,50
57.3,-0.245755,1,300,50
57.6,-0.24535,1,300,50
57.9,-0.241307,1,300,50
58.2,-0.239977,1,300,50
58.5,-0.23902,1,300,50
58.8,-0.236567,1,300,50
59.1,-0.236303,1,300,50
59.4,-0.233987,1,300,50
59.7,-0.233756,1,300,50
60,-0.232051,1,300,50
60.3,-0.231339,1,300,50
60.6,-0.227979,1,300,50
60.9,-0.228379,1,300,50
61.2,-0.226621,1,300,50
61.5,-0.228409,1,300,50
61.8,-0.226908,1,300,50
62.1,-0.227295,1,300,50
62.4,-0.226289,1,300,50
62.7,-0.226681,1,300,50
63,-0.226383,1,300,50
63.3,-0.226284,1,300,50
63.6,-0.229944,1,300,50
63.9,-0.229101,1,300,50
64.2,-0.230553,0,300,50
64.5,-0.235706,0,300,50
64.8,-0.242529,0,300,50
65.1,-0.245476,0,300,50
65.4,-0.246993,0,300,50
65.7,-0.253173,0,300,50
66,-0.256357,0,300,50
66.3,-0.259047,0,300,50
66.6,-0.261625,0,300,50
66.9,-0.263194,0,300,50
67.2,-0.264722,0,300,50
67.5,-0.264994,0,300,50
67.8,-0.266528,0,300,50
68.1,-0.2677,0,300,50
68.4,-0.267771,0,300,50
68.7,-0.267841,0,300,50
69,-0.269617,0,300,50
69.3,-0.273666,0,300,50
69.6,-0.275151,0,300,50
69.9,-0.275268,0,300,50
70.2,-0.277002,0,300,50
70.5,-0.276525,0,300,50
70.8,-0.278363,0,300,50
71.1,-0.277204,0,300,50
71.4,-0.279608,0,300,50
71.7,-0.279114,0,300,50
72,-0.276276,0,300,50
72.3,-0.279472,0,300,50
72.6,-0.280265,0,300,50
72.9,-0.280618,0,300,50
73.2,-0.281868,0,300,50
73.5,-0.280839,0,300,50
73.8,-0.279779,0,300,50
74.1,-0.280593,0,300,50
74.4,-0.280184,0,300,50
74.7,-0.278019,0,300,50
75,-0.27752,0,300,50
75.3,-0.276788,0,300,50
75.6,-0.276376,0,300,50
75.9,-0.275879,0,300,50
76.2,-0.274178,0,300,50
76.5,-0.273747,0,300,50
76.8,-0.272864,0,300,50
77.1,-0.27144,0,300,50
77.4,-0.270606,0,300,50
77.7,-0.269744,0,300,50
78,-0.268748,0,300,50
78.3,-0.267751,0,300,50
78.6,-0.265589,0,300,50
78.9,-0.265253,0,300,50
79.2,-0.265293,0,300,50
79.5,-0.264981,0,300,50
79.8,-0.263944,0,300,50
80.1,-0.261664,0,300,50
80.4,-0.25926,0,300,50
80.7,-0.259775,0,300,50
81,-0.258106,0,300,50
81.3,-0.260568,0,300,50
81.6,-0.255877,0,300,50
81.9,-0.257123,0,300,50
82.2,-0.256216,0,300,50
82.5,-0.25853,0,300,50
82.8,-0.259202,0,300,50
83.1,-0.258751,0,300,50
83.4,-0.257661,0,300,50
83.7,-0.259393,0,300,50
84,-0.26026,0,300,50
84.3,-0.261844,0,300,50
84.6,-0.260949,0,300,50
84.9,-0.260647,0,300,50
85.2,-0.260708,0,300,50
85.5,-0.261759,0,300,50
85.8,-0.261534,0,300,50
86.1,-0.260662,0,300,50
86.4,-0.261898,0,300,50
86.7,-0.261948,0,300,50
87,-0.262882,0,300,50
87.3,-0.262444,0,300,50
87.6,-0.263114,0,300,50
87.9,-0.263911,0,300,50
88.2,-0.265726,0,300,50
88.5,-0.265713,0,300,50
88.8,-0.271579,0,300,50
89.1,-0.269532,0,300,50
89.4,-0.270733,0,300,50
89.7,-0.27473,0,300,50
90,-0.27624,0,300,50
90.3,-0.277481,0,300,50
90.6,-0.280399,0,300,50
90.9,-0.280273,0,300,50
91.2,-0.284497,0,300,50
91.5,-0.285061,0,300,50
91.8,-0.287678,0,300,50
92.1,-0.289158,0,300,50
92.4,-0.291002,0,300,50
92.7,-0.293628,0,300,50
93,-0.295965,0,300,50
93.3,-0.299058,0,300,50
93.6,-0.299372,0,300,50
93.9,-0.299914,0,300,50
94.2,-0.302826,0,300,50
94.5,-0.303043,0,300,50
94.8,-0.3043,0,300,50
95.1,-0.303934,0,300,50
95.4,-0.305937,0,300,50
95.7,-0.307628,0,300,50
96,-0.306239,0,300,50
96.3,-0.307387,0,300,50
96.6,-0.307704,0,300,50
96.9,-0.306701,0,300,50
97.2,-0.30901,0,300,50
97.5,-0.309328,0,300,50
97.8,-0.307436,0,300,50
98.1,-0.309039,0,300,50
98.4,-0.308874,0,300,50
98.7,-0.306857,0,300,50
99,-0.30717,0,300,50
99.3,-0.308766,0,300,50
99.6,-0.307502,0,300,50
99.9,-0.308691,0,300,50
100.2,-0.30868,0,300,50
100.5,-0.307285,0,300,50
100.8,-0.30743,0,300,50
101.1,-0.308051,0,300,50
101.4,-0.305503,0,300,50
101.7,-0.305177,0,300,50
102,-0.303809,0,300,50
102.3,-0.302629,0,300,50
102.6,-0.300397,0,300,50
102.9,-0.298941,0,300,50
103.2,-0.298547,0,300,50
103.5,-0.295298,0,300,50
103.8,-0.293753,0,300,50
104.1,-0.292914,0,300,50
104.4,-0.291774,0,300,50
104.7,-0.291144,0,300,50
105,-0.289183,0,300,50
105.3,-0.28703,0,300,50
