time,delta_freq,event,power,f0
0,-0.060783,0,75,50
0.3,-0.0601635,0,75,50
0.6,-0.0600678,0,75,50
0.9,-0.0591115,0,75,50
1.2,-0.058324,0,75,50
1.5,-0.0592115,0,75,50
1.8,-0.0600515,0,75,50
2.1,-0.0607635,0,75,50
2.4,-0.061224,0,75,50
2.7,-0.0600742,0,75,50
3,-0.0602513,0,75,50
3.3,-0.058775,0,75,50
3.6,-0.0573695,0,75,50
3.9,-0.0557845,0,75,50
4.2,-0.0564325,0,75,50
4.5,-0.0564915,0,75,50
4.8,-0.0541405,0,75,50
5.1,-0.0537627,0,75,50
5.4,-0.0513323,0,75,50
5.7,-0.0497942,0,75,50
6,-0.0457773,0,75,50
6.3,-0.0433695,0,75,50
6.6,-0.040307,0,75,50
6.9,-0.0380747,0,75,50
7.2,-0.03518,0,75,50
7.5,-0.0328485,0,75,50
7.8,-0.0313772,0,75,50
8.1,-0.0306,0,75,50
8.4,-0.028575,0,75,50
8.7,-0.027337,0,75,50
9,-0.0270917,0,75,50
9.3,-0.0275275,0,75,50
9.6,-0.028343,0,75,50
9.9,-0.0298283,0,75,50
10.2,-0.0303425,0,75,50
10.5,-0.0312107,0,75,50
10.8,-0.0310075,0,75,50
11.1,-0.0307727,0,75,50
11.4,-0.0322502,0,75,50
11.7,-0.0335678,0,75,50
12,-0.0354435,0,75,50
12.3,-0.0362652,0,75,50
12.6,-0.0351788,0,75,50
12.9,-0.037358,0,75,50
13.2,-0.0382577,0,75,50
13.5,-0.0403088,0,75,50
13.8,-0.0415797,0,75,50
14.1,-0.042509,0,75,50
14.4,-0.042844,0,75,50
14.7,-0.0443765,0,75,50
15,-0.0444085,0,75,50
15.3,-0.0464392,0,75,50
15.6,-0.0478032,0,75,50
15.9,-0.048812,0,75,50
16.2,-0.049775,0,75,50
16.5,-0.0500765,0,75,50
16.8,-0.050018,0,75,50
17.1,-0.051425,0,75,50
17.4,-0.052867,0,75,50
17.7,-0.0534873,0,75,50
18,-0.0543195,0,75,50
18.3,-0.0545725,0,75,50
18.6,-0.0554948,0,75,50
18.9,-0.0565627,0,75,50
19.2,-0.0570055,0,75,50
19.5,-0.0578083,0,75,50
19.8,-0.0568928,0,75,50
20.1,-0.0558685,0,75,50
20.4,-0.056298,0,75,50
20.7,-0.0569587,0,75,50
21,-0.057516,0,75,50
21.3,-0.058025,0,75,50
21.6,-0.057987,0,75,50
21.9,-0.0576638,0,75,50
22.2,-0.0577628,0,75,50
22.5,-0.0570793,0,75,50
22.8,-0.056845,0,75,50
23.1,-0.0565872,0,75,50
