index,time,delta_freq,event,power,f0
2295,45.9,-0.139602,1,315,50
2310,46.2,-0.160846,1,315,50
2325,46.5,-0.17838,1,315,50
2340,46.8,-0.194173,1,315,50
2355,47.1,-0.210692,1,315,50
2370,47.4,-0.226452,1,315,50
2385,47.7,-0.242707,1,315,50
2400,48,-0.258514,1,315,50
2415,48.3,-0.269835,1,315,50
2430,48.6,-0.282539,1,315,50
2445,48.9,-0.292549,1,315,50
2460,49.2,-0.303756,1,315,50
2475,49.5,-0.316048,1,315,50
2490,49.8,-0.325632,1,315,50
2505,50.1,-0.332394,1,315,50
2520,50.4,-0.337677,1,315,50
2535,50.7,-0.341449,1,315,50
2550,51,-0.343986,1,315,50
2565,51.3,-0.345945,1,315,50
2580,51.6,-0.346968,1,315,50
2595,51.9,-0.34695,1,315,50
2610,52.2,-0.345722,1,315,50
2625,52.5,-0.346789,1,315,50
2640,52.8,-0.344706,1,315,50
2655,53.1,-0.342892,1,315,50
2670,53.4,-0.340347,1,315,50
2685,53.7,-0.339063,1,315,50
2700,54,-0.336221,1,315,50
2715,54.3,-0.332759,1,315,50
2730,54.6,-0.331094,1,315,50
2745,54.9,-0.327183,1,315,50
2760,55.2,-0.323731,1,315,50
2775,55.5,-0.317652,1,315,50
2790,55.8,-0.314635,1,315,50
2805,56.1,-0.309898,1,315,50
2820,56.4,-0.306244,1,315,50
2835,56.7,-0.303303,1,315,50
2850,57,-0.298459,1,315,50
2865,57.3,-0.295306,1,315,50
2880,57.6,-0.29177,1,315,50
2895,57.9,-0.288257,1,315,50
2910,58.2,-0.283245,1,315,50
2925,58.5,-0.280592,1,315,50
2940,58.8,-0.274991,1,315,50
2955,59.1,-0.26818,1,315,50
2970,59.4,-0.261944,1,315,50
2985,59.7,-0.25662,1,315,50
3000,60,-0.251537,1,315,50
3015,60.3,-0.246389,1,315,50
3030,60.6,-0.24131,1,315,50
3045,60.9,-0.237726,1,315,50
3060,61.2,-0.231837,1,315,50
3075,61.5,-0.228456,1,315,50
3090,61.8,-0.223903,1,315,50
3105,62.1,-0.219589,1,315,50
3120,62.4,-0.215872,1,315,50
3135,62.7,-0.212053,1,315,50
3150,63,-0.209006,1,315,50
3165,63.3,-0.204439,1,315,50
3180,63.6,-0.199261,1,315,50
3195,63.9,-0.19568,1,315,50
3210,64.2,-0.191162,1,315,50
3225,64.5,-0.186029,1,315,50
3240,64.8,-0.182588,1,315,50
3255,65.1,-0.177706,1,315,50
3270,65.4,-0.175223,1,315,50
3285,65.7,-0.174079,1,315,50
3300,66,-0.172204,1,315,50
3315,66.3,-0.171019,1,315,50
3330,66.6,-0.168647,1,315,50
3345,66.9,-0.166397,1,315,50
3360,67.2,-0.165494,1,315,50
3375,67.5,-0.165094,1,315,50
3390,67.8,-0.164515,1,315,50
3405,68.1,-0.163999,1,315,50
3420,68.4,-0.161969,1,315,50
3435,68.7,-0.160424,1,315,50
3450,69,-0.161846,1,315,50
3465,69.3,-0.163043,1,315,50
3480,69.6,-0.162222,1,315,50
3495,69.9,-0.162554,1,315,50
3510,70.2,-0.163765,1,315,50
3525,70.5,-0.163778,1,315,50
3540,70.8,-0.164542,1,315,50
3555,71.1,-0.165289,1,315,50
3570,71.4,-0.166756,1,315,50
