index,time,delta_freq,event,power,f0
0,0,0.0895737,0,152,50
15,0.3,0.085565,0,152,50
30,0.6,0.0818278,0,152,50
45,0.9,0.0846503,0,152,50
60,1.2,0.0817227,0,152,50
75,1.5,0.081531,0,152,50
90,1.8,0.081397,0,152,50
105,2.1,0.0780733,0,152,50
120,2.4,0.078209,0,152,50
135,2.7,0.08058,0,152,50
150,3,0.0763387,0,152,50
165,3.3,0.0787773,0,152,50
180,3.6,0.0761535,0,152,50
195,3.9,0.0774022,0,152,50
210,4.2,0.0750437,0,152,50
225,4.5,0.0741365,0,152,50
240,4.8,0.0728045,0,152,50
255,5.1,0.071623,0,152,50
270,5.4,0.0686735,0,152,50
285,5.7,0.0701362,0,152,50
300,6,0.0706532,0,152,50
315,6.3,0.0652473,0,152,50
330,6.6,0.067024,0,152,50
345,6.9,0.0662568,0,152,50
360,7.2,0.0627815,0,152,50
375,7.5,0.0601257,0,152,50
390,7.8,0.062259,0,152,50
405,8.1,0.062704,0,152,50
420,8.4,0.0641463,0,152,50
435,8.7,0.0614358,0,152,50
450,9,0.0644457,0,152,50
465,9.3,0.0660642,0,152,50
480,9.6,0.0654838,0,152,50
495,9.9,0.0655668,0,152,50
510,10.2,0.0676165,0,152,50
525,10.5,0.063856,0,152,50
540,10.8,0.0681822,0,152,50
555,11.1,0.068191,0,152,50
570,11.4,0.068137,0,152,50
585,11.7,0.0690625,0,152,50
600,12,0.0713938,0,152,50
615,12.3,0.071675,0,152,50
630,12.6,0.0735365,0,152,50
645,12.9,0.076037,0,152,50
660,13.2,0.0736975,0,152,50
675,13.5,0.0794292,0,152,50
690,13.8,0.0786058,0,152,50
705,14.1,0.0777425,0,152,50
720,14.4,0.076977,0,152,50
735,14.7,0.0778525,0,152,50
750,15,0.0795437,0,152,50
765,15.3,0.0812618,0,152,50
780,15.6,0.082566,0,152,50
795,15.9,0.0828425,0,152,50
810,16.2,0.086847,0,152,50
825,16.5,0.0881002,0,152,50
840,16.8,0.087451,0,152,50
855,17.1,0.0894077,0,152,50
870,17.4,0.0884452,0,152,50
885,17.7,0.0880945,0,152,50
900,18,0.0891492,0,152,50
915,18.3,0.085635,0,152,50
930,18.6,0.0858005,0,152,50
945,18.9,0.084569,0,152,50
960,19.2,0.083469,0,152,50
975,19.5,0.0815685,0,152,50
990,19.8,0.0767338,0,152,50
1005,20.1,0.0776595,0,152,50
1020,20.4,0.0775235,0,152,50
1035,20.7,0.078028,0,152,50
1050,21,0.0731582,0,152,50
1065,21.3,0.0712128,0,152,50
1080,21.6,0.0677653,0,152,50
1095,21.9,0.0711995,0,152,50
1110,22.2,0.0669658,0,152,50
1125,22.5,0.0670758,0,152,50
1140,22.8,0.0648002,0,152,50
1155,23.1,0.0644633,0,152,50
1170,23.4,0.0654352,0,152,50
1185,23.7,0.0671275,0,152,50
1200,24,0.067728,0,152,50
1215,24.3,0.0649343,0,152,50
1230,24.6,0.0667285,0,152,50
1245,24.9,0.0633877,0,152,50
1260,25.2,0.0660815,0,152,50
1275,25.5,0.0653818,0,152,50
1290,25.8,0.0636188,0,152,50
1305,26.1,0.0655703,0,152,50
1320,26.4,0.06494,0,152,50
1335,26.7,0.0633323,0,152,50
1350,27,0.0635762,0,152,50
1365,27.3,0.0637768,0,152,50
1380,27.6,0.0651145,0,152,50
1395,27.9,0.0638937,0,152,50
1410,28.2,0.06976,0,152,50
1425,28.5,0.0683638,0,152,50
1440,28.8,0.0690742,0,152,50
1455,29.1,0.071285,0,152,50
1470,29.4,0.068586,0,152,50
1485,29.7,0.0634055,0,152,50
1500,30,0.0649722,0,152,50
1515,30.3,0.0707928,0,152,50
1530,30.6,0.0707295,0,152,50
1545,30.9,0.0727192,0,152,50
1560,31.2,0.0738578,0,152,50
1575,31.5,0.0754145,0,152,50
1590,31.8,0.0728852,0,152,50
1605,32.1,0.074783,0,152,50
1620,32.4,0.0711138,0,152,50
1635,32.7,0.0717525,0,152,50
1650,33,0.0726037,0,152,50
1665,33.3,0.0691338,0,152,50
1680,33.6,0.0709285,0,152,50
1695,33.9,0.071517,0,152,50
1710,34.2,0.0713138,0,152,50
1725,34.5,0.0704325,0,152,50
1740,34.8,0.0730172,0,152,50
1755,35.1,0.0700145,0,152,50
1770,35.4,0.0677272,0,152,50
1785,35.7,0.0710355,0,152,50
1800,36,0.0685707,0,152,50
1815,36.3,0.0661867,0,152,50
1830,36.6,0.06752,0,152,50
1845,36.9,0.064477,0,152,50
1860,37.2,0.061254,0,152,50
1875,37.5,0.0611865,0,152,50
1890,37.8,0.0561875,0,152,50
1905,38.1,0.0618493,0,152,50
1920,38.4,0.060322,0,152,50
1935,38.7,0.0559788,0,152,50
1950,39,0.0575585,0,152,50
1965,39.3,0.0557308,0,152,50
1980,39.6,0.0584023,0,152,50
1995,39.9,0.055192,0,152,50
2010,40.2,0.0538938,0,152,50
2025,40.5,0.0522955,0,152,50
2040,40.8,0.0550665,0,152,50
2055,41.1,0.0529512,0,152,50
2070,41.4,0.0521078,0,152,50
2085,41.7,0.0539273,0,152,50
2100,42,0.0551645,0,152,50
2115,42.3,0.0531028,0,152,50
2130,42.6,0.0586562,0,152,50
2145,42.9,0.053494,0,152,50
2160,43.2,0.0568203,0,152,50
2175,43.5,0.0577988,0,152,50
2190,43.8,0.0585352,0,152,50
2205,44.1,0.0618998,0,152,50
2220,44.4,0.0591712,0,152,50
2235,44.7,0.0626975,0,152,50
2250,45,0.066256,0,152,50
2265,45.3,0.0601965,0,152,50
2280,45.6,0.07039,0,152,50
2295,45.9,0.0666605,0,152,50
2310,46.2,0.0695733,0,152,50
2325,46.5,0.069137,0,152,50
2340,46.8,0.0684787,0,152,50
2355,47.1,0.066897,0,152,50
2370,47.4,0.0701268,0,152,50
2385,47.7,0.0725995,0,152,50
2400,48,0.0723293,0,152,50
2415,48.3,0.0737535,0,152,50
2430,48.6,0.074103,0,152,50
2445,48.9,0.0729665,0,152,50
2460,49.2,0.0746058,1,152,50
2475,49.5,0.0621225,1,152,50
2490,49.8,0.0468975,1,152,50
2505,50.1,0.02983,1,152,50
2520,50.4,0.014788,1,152,50
2535,50.7,-0.00236575,1,152,50
2550,51,-0.012965,1,152,50
2565,51.3,-0.0270092,1,152,50
2580,51.6,-0.0351232,1,152,50
2595,51.9,-0.0524425,1,152,50
2610,52.2,-0.063681,1,152,50
2625,52.5,-0.0739852,1,152,50
2640,52.8,-0.0838502,1,152,50
2655,53.1,-0.0948087,1,152,50
2670,53.4,-0.102841,1,152,50
2685,53.7,-0.111797,1,152,50
2700,54,-0.121711,1,152,50
2715,54.3,-0.125453,1,152,50
2730,54.6,-0.133406,1,152,50
2745,54.9,-0.141621,1,152,50
2760,55.2,-0.142871,1,152,50
2775,55.5,-0.150187,1,152,50
2790,55.8,-0.151873,1,152,50
2805,56.1,-0.156,1,152,50
2820,56.4,-0.154139,1,152,50
2835,56.7,-0.158915,1,152,50
2850,57,-0.153183,1,152,50
