index,time,delta_freq,event,power,f0
0,0,-0.047975,0,150,50
15,0.3,-0.0504393,0,150,50
30,0.6,-0.0515063,0,150,50
45,0.9,-0.0523417,0,150,50
60,1.2,-0.0554943,0,150,50
75,1.5,-0.0574107,0,150,50
90,1.8,-0.0567883,0,150,50
105,2.1,-0.0584323,0,150,50
120,2.4,-0.0582153,0,150,50
135,2.7,-0.0620087,0,150,50
150,3,-0.061318,0,150,50
165,3.3,-0.0599363,0,150,50
180,3.6,-0.0589497,0,150,50
195,3.9,-0.0592103,0,150,50
210,4.2,-0.059248,0,150,50
225,4.5,-0.058848,0,150,50
240,4.8,-0.055202,0,150,50
255,5.1,-0.0554397,0,150,50
270,5.4,-0.0545027,0,150,50
285,5.7,-0.055008,0,150,50
300,6,-0.0537197,0,150,50
315,6.3,-0.0505983,0,150,50
330,6.6,-0.0499993,0,150,50
345,6.9,-0.04968,0,150,50
360,7.2,-0.0496467,0,150,50
375,7.5,-0.0469877,0,150,50
390,7.8,-0.0448933,0,150,50
405,8.1,-0.0460013,0,150,50
420,8.4,-0.042614,0,150,50
435,8.7,-0.0398137,0,150,50
450,9,-0.0376353,0,150,50
465,9.3,-0.0385943,0,150,50
480,9.6,-0.0392483,0,150,50
495,9.9,-0.0384497,0,150,50
510,10.2,-0.0375733,0,150,50
525,10.5,-0.0400187,0,150,50
540,10.8,-0.04159,0,150,50
555,11.1,-0.0433547,0,150,50
570,11.4,-0.0426323,0,150,50
585,11.7,-0.0438683,0,150,50
600,12,-0.045512,0,150,50
615,12.3,-0.047059,0,150,50
630,12.6,-0.047373,0,150,50
645,12.9,-0.0457273,0,150,50
660,13.2,-0.0474197,0,150,50
675,13.5,-0.0491417,0,150,50
690,13.8,-0.0484277,0,150,50
705,14.1,-0.0492573,0,150,50
720,14.4,-0.0454167,0,150,50
735,14.7,-0.0449787,0,150,50
750,15,-0.0448937,0,150,50
765,15.3,-0.0428527,0,150,50
780,15.6,-0.0418663,0,150,50
795,15.9,-0.0371157,0,150,50
810,16.2,-0.0382613,0,150,50
825,16.5,-0.0371773,0,150,50
840,16.8,-0.0371517,0,150,50
855,17.1,-0.0367363,0,150,50
870,17.4,-0.0365137,0,150,50
885,17.7,-0.0391603,0,150,50
900,18,-0.0394123,0,150,50
915,18.3,-0.0385743,0,150,50
930,18.6,-0.040365,0,150,50
945,18.9,-0.0407333,0,150,50
960,19.2,-0.042998,0,150,50
975,19.5,-0.0442327,0,150,50
990,19.8,-0.0426873,0,150,50
1005,20.1,-0.043747,0,150,50
1020,20.4,-0.0422243,0,150,50
1035,20.7,-0.0436827,0,150,50
1050,21,-0.0428287,0,150,50
1065,21.3,-0.0422417,0,150,50
1080,21.6,-0.0424817,0,150,50
1095,21.9,-0.0425543,0,150,50
1110,22.2,-0.0425027,0,150,50
1125,22.5,-0.043224,0,150,50
1140,22.8,-0.0448827,0,150,50
1155,23.1,-0.0479507,0,150,50
1170,23.4,-0.050006,0,150,50
1185,23.7,-0.049803,0,150,50
1200,24,-0.049235,0,150,50
1215,24.3,-0.049509,0,150,50
1230,24.6,-0.0507633,0,150,50
1245,24.9,-0.050106,0,150,50
1260,25.2,-0.0483673,0,150,50
1275,25.5,-0.0470453,0,150,50
1290,25.8,-0.0470497,0,150,50
1305,26.1,-0.0489873,0,150,50
1320,26.4,-0.049416,0,150,50
1335,26.7,-0.049251,0,150,50
1350,27,-0.0493707,0,150,50
1365,27.3,-0.048887,0,150,50
