time,delta_freq,event,power,f0
0,-0.0187655,0,365,50
0.3,-0.018623,0,365,50
0.6,-0.0184982,0,365,50
0.9,-0.0182655,0,365,50
1.2,-0.0158645,0,365,50
1.5,-0.0151212,0,365,50
1.8,-0.014758,0,365,50
2.1,-0.0154225,0,365,50
2.4,-0.0138475,0,365,50
2.7,-0.0137152,0,365,50
3,-0.0124133,0,365,50
3.3,-0.01097,0,365,50
3.6,-0.010771,0,365,50
3.9,-0.0086205,0,365,50
4.2,-0.00949125,0,365,50
4.5,-0.00735175,0,365,50
4.8,-0.00655,0,365,50
5.1,-0.0066275,0,365,50
5.4,-0.006596,0,365,50
5.7,-0.00698525,0,365,50
6,-0.00632825,0,365,50
6.3,-0.00710275,0,365,50
6.6,-0.00518025,0,365,50
6.9,-0.00400975,0,365,50
7.2,-0.0037355,0,365,50
7.5,-0.0028435,0,365,50
7.8,-0.00271325,0,365,50
8.1,-0.00151425,0,365,50
8.4,0.000522,0,365,50
8.7,0.0015875,0,365,50
9,0.001467,0,365,50
9.3,0.00270125,0,365,50
9.6,0.00150375,0,365,50
9.9,0.00151675,0,365,50
10.2,0.0011925,0,365,50
10.5,-0.000405,0,365,50
10.8,-0.00110275,0,365,50
11.1,-0.00421575,0,365,50
11.4,-0.0040185,0,365,50
11.7,-0.00591725,0,365,50
12,-0.00544975,0,365,50
12.3,-0.0071605,0,365,50
12.6,-0.00662675,0,365,50
12.9,-0.00722625,0,365,50
13.2,-0.00885175,0,365,50
13.5,-0.00956475,0,365,50
13.8,-0.0101983,0,365,50
14.1,-0.011762,0,365,50
14.4,-0.011723,0,365,50
14.7,-0.012898,0,365,50
15,-0.0129127,0,365,50
15.3,-0.0141668,0,365,50
15.6,-0.0161685,0,365,50
15.9,-0.017843,0,365,50
16.2,-0.0192435,0,365,50
16.5,-0.0211415,0,365,50
16.8,-0.0239845,0,365,50
17.1,-0.0280767,0,365,50
17.4,-0.0304533,0,365,50
17.7,-0.033946,0,365,50
18,-0.0364317,0,365,50
18.3,-0.037659,0,365,50
18.6,-0.0389557,0,365,50
18.9,-0.0392105,0,365,50
19.2,-0.0415995,0,365,50
19.5,-0.0404537,0,365,50
19.8,-0.041863,0,365,50
20.1,-0.0410235,0,365,50
20.4,-0.0408762,0,365,50
20.7,-0.042507,0,365,50
21,-0.0437055,0,365,50
21.3,-0.0457642,0,365,50
21.6,-0.0479883,0,365,50
21.9,-0.0481172,0,365,50
22.2,-0.0472645,0,365,50
22.5,-0.0488055,0,365,50
22.8,-0.0488505,0,365,50
23.1,-0.0485222,0,365,50
23.4,-0.0475863,0,365,50
23.7,-0.046754,0,365,50
24,-0.0459972,0,365,50
24.3,-0.0446865,0,365,50
24.6,-0.044486,0,365,50
24.9,-0.04307,0,365,50
25.2,-0.0431223,0,365,50
25.5,-0.0408502,0,365,50
25.8,-0.0407923,0,365,50
26.1,-0.0417348,0,365,50
26.4,-0.0408472,0,365,50
26.7,-0.0413445,0,365,50
27,-0.039115,0,365,50
27.3,-0.039856,0,365,50
27.6,-0.0391685,0,365,50
27.9,-0.04004,0,365,50
28.2,-0.0379003,0,365,50
28.5,-0.0365408,0,365,50
28.8,-0.0346527,0,365,50
29.1,-0.0328295,0,365,50
29.4,-0.031213,0,365,50
29.7,-0.0308888,0,365,50
30,-0.0286188,0,365,50
30.3,-0.0294363,0,365,50
30.6,-0.0309487,0,365,50
30.9,-0.0314298,0,365,50
31.2,-0.0324848,0,365,50
31.5,-0.0312682,0,365,50
31.8,-0.0301167,0,365,50
32.1,-0.0300313,0,365,50
32.4,-0.0272925,0,365,50
32.7,-0.0278685,0,365,50
33,-0.0262217,0,365,50
33.3,-0.0257273,0,365,50
33.6,-0.0268448,0,365,50
33.9,-0.0254475,0,365,50
34.2,-0.0271708,0,365,50
34.5,-0.0264295,0,365,50
34.8,-0.026699,0,365,50
35.1,-0.0274332,0,365,50
35.4,-0.02784,0,365,50
35.7,-0.028096,0,365,50
36,-0.027659,0,365,50
36.3,-0.0280617,0,365,50
36.6,-0.0290382,0,365,50
36.9,-0.029031,0,365,50
37.2,-0.0295973,0,365,50
37.5,-0.029467,0,365,50
