Frecuencia Original [Hz],Frecuencia Polinomio [Hz],Frecuencia Metaheuristica [Hz]
1800,50.00569325757577,50.00569325757577
1800,50.003862173763586,50.001994631025276
1800,50.00202817037058,49.998327826071424
1800,50.00019139000409,49.99469232834847
1800,49.99835197397165,49.99108790780653
1800,49.99651006228767,49.98751433599496
1800,49.994665793680156,49.983971386051486
1800,49.99281930559736,49.98045883269143
1800,49.99097073421443,49.976976452196986
1800,49.989120214440035,49.97352402240659
1800,49.987267879922996,49.97010132270434
1800,49.98541386305884,49.966708134009494
1800,49.98355829499639,49.963344238766076
1800,49.98170130564432,49.96000942093249
1800,49.97984302367765,49.9567034659712
1800,49.9779835765443,49.9534261608386
1800,49.976123090471525,49.95017729397478
1800,49.974261690472446,49.94695665529349
1800,49.972399500352445,49.94376403617211
1800,49.97053664271563,49.94059922944169
1800,49.96867323897122,49.9374620293771
1800,49.96680940933996,49.934352231687214
1800,49.964945272860454,49.93126963350512
1800,49.96308094739556,49.92821403337849
1800,49.961216549638685,49.925185231259924
1800,49.959352195120125,49.92218302849744
1800,49.95748799821334,49.91920722782495
1800,49.9556240721412,49.91625763335282
1800,49.95376052898231,49.913334050558575
1800,49.95189747967717,49.910436286277545
1800,49.95003503403443,49.90756414869364
1800,49.94817330073707,49.90471744733018
1800,49.94631238734857,49.901895993040796
1800,49.94445240031909,49.89909959800037
1800,49.94259344499157,49.89632807569604
1800,49.940735625607886,49.893581240918266
1800,49.938879045314906,49.89085890975198
1800,49.9370238061706,49.888160899567765
1800,49.93517000915009,49.8854870290131
1800,49.9333177541517,49.882837118003685
1800,49.93146714000294,49.8802109877148
1800,49.92961826446654,49.877608460572695
1800,49.92777122424645,49.875029360246145
1800,49.92592611499375,49.872473511637935
1800,49.924083031312634,49.869940740876466
1800,49.922242066766316,49.86743087530742
1800,49.92040331388296,49.86494374348547
1800,49.918566864161534,49.86247917516602
1800,49.916732808077704,49.86003700129708
1800,49.91490123508968,49.85761705401107
1800,49.91307223364403,49.85521916661681
1800,49.91124589118151,49.85284317359148
1800,49.909422294142836,49.85048891057265
1800,49.907601527974485,49.8481562143504
1800,49.905783677134444,49.84584492285942
1800,49.903968825097905,49.84355487517127
1800,49.90215705436306,49.84128591148659
1800,49.90034844645671,49.83903787312739
1800,49.89854308194002,49.836810602529454
1800,49.89674104041415,49.83460394323469
1800,49.89494240052588,49.832417739883645
1800,49.89314723997327,49.83025183820796
1800,49.89135563551124,49.82810608502295
