Frecuencia Original [Hz],Frecuencia Polinomio [Hz],Frecuencia Metaheuristica [Hz]
2200,49.94292988352041,49.94292988352041
2200,49.94118331568298,49.94073129652384
2200,49.939447039732705,49.93850567334087
2200,49.93772101561062,49.93625770345989
2200,49.93600520336097,49.933991691447176
2200,49.93429956313107,49.931711583366514
2200,49.93260405517113,49.92942099417799
2200,49.93091863983413,49.92712323307257
2200,49.929243277575615,49.92482132689744
2200,49.92757792895354,49.92251804181561
2200,49.925922554628144,49.92021590333257
2200,49.92427711536176,49.91791721481268
2200,49.92264157201866,49.915624074598824
2200,49.9210158855649,49.91333839184032
2200,49.91940001706815,49.91106190112624
2200,49.917793927697545,49.90879617601386
2200,49.91619757872352,49.90654264153539
2200,49.91461093151764,49.90430258575977
2200,49.91303394755248,49.90207717048058
2200,49.9114665884014,49.899867441095765
2200,49.90990881573845,49.89767433574002
2200,49.90836059133815,49.89549869372593
2200,49.90682187707541,49.893341263345995
2200,49.905292634925274,49.89120270908348
2200,49.90377282696285,49.889083618276636
2200,49.90226241536308,49.886984507277475
2200,49.90076136240065,49.88490582714296
2200,49.89926963044976,49.88284796889396
2200,49.89778718198401,49.88081126837448
2200,49.896313979576234,49.87879601074114
2200,49.894849985898354,49.87680243461086
2200,49.89339516372119,49.87483073589245
2200,49.8919494759143,49.8728810713259
2200,49.890512885445894,49.87095356175137
2200,49.889085355382576,49.869048295128266
2200,49.887666848889246,49.86716532932326
2200,49.88625732922894,49.86530469468461
2200,49.884856759762656,49.86346639641892
2200,49.88346510394919,49.86165041678521
2200,49.882082325345024,49.85985671712014
2200,49.8807083876041,49.85808523970705
2200,49.879343254477725,49.856335909500636
2200,49.87798688981437,49.85460863571816
2200,49.87663925755955,49.85290331330725
2200,49.87530032175564,49.85121982429966
2200,49.873970046541714,49.84955803905956
2200,49.87264839615343,49.8479178174343
2200,49.871335334922826,49.84629900981517
2200,49.870030827278185,49.84470145811476
2200,49.86873483774389,49.843124996667406
2200,49.86744733094023,49.841569453058405
2200,49.866168271583305,49.84003464888756
2200,49.864897624484804,49.83852040047188
2200,49.86363535455189,49.83702651949213
2200,49.862381426787046,49.835552813587455
2200,49.86113580628789,49.834099086902114
2200,49.85989845824705,49.83266514058782
2200,49.858669347951995,49.83125077326518
2200,49.85744844078488,49.829855781447314
2200,49.856235702222385,49.828479959928515
2200,49.855031097835585,49.82712310214065
2200,49.85383459328977,49.825785000479755
2200,49.852646154344285,49.824465446605075
2200,49.85146574685242,49.823164231712724
2200,49.8502933367612,49.821881146785856
2200,49.84912889011126,49.82061598282314
2200,49.8479723730367,49.81936853104728
2200,49.84682375176489,49.81813858309502
2200,49.84568299261637,49.81692593119016
2200,49.844550062004664,49.81573036830082
2200,49.84342492643613,49.814551688282194
2200,49.842307552509794,49.81338968600596
2200,49.841197906917245,49.81224415747732
2200,49.84009595644242,49.81111489994066
2200,49.83900166796149,49.810001711974756
2200,49.837915008442685,49.80890439357827
2200,49.83683594494617,49.80782274624637
2200,49.83576444462386,49.80675657303918
2200,49.83470047471929,49.80570567864255
2200,49.833644002567446,49.804669869422035
2200,49.83259499559462,49.80364895347034
2200,49.83155342131827,49.80264274064896
2200,49.83051924734685,49.80165104262437
2200,49.82949244137965,49.80067367289921
2200,49.82847297120668,49.79971044683896
2200,49.82746080470847,49.79876118169439
2200,49.82645590985598,49.7978256966201
2200,49.82545825471038,49.79690381268962
2200,49.824467807422934,49.79599535290718
2200,49.823484536234865,49.79510014221655
2200,49.822508409477166,49.79421800750719
2200,49.821539395570476,49.79334877761784
2200,49.82057746302492,49.79249228333786
2200,49.81962258043994,49.791648357406565
2200,49.8186747165042,49.790816834510565
2200,49.81773383999535,49.78999755127943
2200,49.81679991977996,49.78919034627976
2200,49.81587292481331,49.788395060007886
2200,49.81495282413928,49.7876115348812
2200,49.814039586890175,49.78683961522835
2200,49.81313318228656,49.78607914727839
2200,49.812233579637166,49.78532997914893
2200,49.81134074833869,49.78459196083346
2200,49.810454657875646,49.78386494418788
2200,49.80957527782025,49.78314878291637
2200,49.80870257783225,49.7824433325566
2200,49.807836527658765,49.78174845046441
2200,49.80697709713416,49.78106399579801
2200,49.806124256179864,49.78038982950176
2200,49.80527797480428,49.77972581428954
2200,49.80443822310255,49.77907181462786
2200,49.80360497125649,49.77842769671862
2200,49.80277818953439,49.77779332848169
2200,49.80195784829088,49.77716857953724
2200,49.80114391796679,49.77655332118796
2200,49.80033636908898,49.77594742640112
2200,49.79953517227022,49.775350769790506
2200,49.798740298209005,49.77476322759834
2200,49.79795171768946,49.77418467767711
2200,49.79716940158113,49.773614999471356
2200,49.79639332083889,49.77305407399947
2200,49.795623446502745,49.77250178383556
2200,49.79485974969773,49.77195801309122
2200,49.79410220163373,49.77142264739748
2200,49.79335077360534,49.77089557388672
2200,49.792605436991735,49.77037668117469
2200,49.791866163256486,49.769865859342616
2200,49.791132923947465,49.769362999919416
2200,49.79040569069664,49.76886799586397
2200,49.789684435219975,49.76838074154755
2200,49.788969129317266,49.767901132736355
2200,49.78825974487198,49.767429066574174
2200,49.787556253851136,49.76696444156517
2200,49.78685862830514,49.76650715755683
2200,49.78616684036765,49.76605711572303
2200,49.78548086225541,49.765614218547285
2200,49.78480066626814,49.76517836980609
2200,49.78412622478835,49.7647494745525
2200,49.783457510281224,49.76432743909981
2200,49.78279449529445,49.763912171005394
2200,49.78213715245811,49.76350357905473
2200,49.78148545448448,49.76310157324561
2200,49.780839374167954,49.76270606477247
2200,49.78019888438483,49.7623169660109
2200,49.77956395809321,49.76193419050235
2200,49.778934568332865,49.76155765293898
2200,49.77831068822502,49.76118726914868
2200,49.77769229097229,49.76082295608026
2200,49.7770793498585,49.76046463178885
2200,49.77647183824853,49.760112215421394
2200,49.7758697295882,49.75976562720237
